,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.201676,0.815882,0.449406,0.244128,0.703335,0.522705
CK,0.693827,0.598536,0.361389,0.680625,0.574294,0.799012
CD3,0.52162,0.656074,0.806588,0.805102,0.578184,0.771878
CD20,0.617429,0.402251,0.679964,0.742734,0.669482,0.823528
CD68,0.685673,0.887497,0.745928,0.666449,0.761117,0.802718
CD56,0.801776,0.642794,0.781712,0.624514,0.576998,0.651276
CD8,0.340834,0.826388,0.784248,0.820432,0.845803,0.719241
AF,0.767297,-0.0179778,0.456021,0.775511,0.605337,0.702701
