class,entropy_nats,entropy_bits
CK+,1.25374,1.80876
CD3+,1.53768,2.21841
CD8+,1.71458,2.47361
CD20+,1.75243,2.52822
CD56+,1.49659,2.15912
CD68+,1.60124,2.31009
