,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.220877,0.520998,0.319697,0.254899,0.584292,0.440493
CK,0.506256,0.0549918,0.0440123,0.0809757,0.0447947,0.0443296
CD3,0.0230843,0.202934,0.0459771,0.0311997,0.0256807,0.0347453
CD20,0.0268687,0.0280825,0.278617,0.0344553,0.0212398,0.0507945
CD68,0.0151737,0.0197926,0.0237171,0.146465,0.0392449,0.0246159
CD56,0.00945729,0.0140668,0.0178913,0.0222534,0.0812293,0.0147756
CD8,0.0189589,0.0668309,0.0670939,0.075695,0.0485837,0.265766
AF,0.179325,0.0923033,0.202994,0.354057,0.154935,0.12448
