class,entropy_nats,entropy_bits
CK+,1.35334,1.95245
CD3+,1.46155,2.10857
CD8+,1.66536,2.40261
CD20+,1.70521,2.4601
CD56+,1.3958,2.01371
CD68+,1.53239,2.21076
