class,entropy_nats,entropy_bits
CK+,1.46801,2.1179
CD3+,1.53922,2.22062
CD8+,1.65085,2.38167
CD20+,1.71665,2.4766
CD56+,1.49841,2.16174
CD68+,1.56284,2.2547
