class,entropy_nats,entropy_bits
CK+,1.3534,1.95254
CD3+,1.46169,2.10877
CD8+,1.66549,2.40279
CD20+,1.70519,2.46006
CD56+,1.39584,2.01377
CD68+,1.53238,2.21076
