class,entropy_nats,entropy_bits
CK+,1.31187,1.89263
CD3+,1.60793,2.31975
CD8+,1.66862,2.40732
CD20+,1.81058,2.61212
CD56+,1.61311,2.32722
CD68+,1.6358,2.35996
