,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.220834,0.520949,0.319647,0.254954,0.58431,0.440434
CK,0.506245,0.0550306,0.044002,0.0809637,0.0448212,0.044334
CD3,0.0231068,0.202878,0.0460109,0.0311952,0.0256896,0.0347294
CD8,0.026885,0.0281186,0.278583,0.0344611,0.021231,0.0508231
CD20,0.015167,0.0197444,0.0237548,0.146551,0.0392736,0.0245859
CD56,0.00945371,0.0140701,0.0178999,0.0222392,0.0811536,0.0147834
CD68,0.0189539,0.0668832,0.0670581,0.075653,0.0486195,0.265842
AF,0.179355,0.0923258,0.203045,0.353983,0.154901,0.124468
