,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.215686,0.407407,0.309368,0.764706,0.30719,0.786492
CK,0.326797,0.535948,0.749455,0.703704,0.653595,0.496732
CD3,0.0675381,0.433551,0.954248,0.69281,0.542484,0.684096
CD8,0.27451,0.48366,0.535948,0.825708,0.420479,0.520697
CD20,0.215686,0.357298,0.27451,0.440087,0.276688,0.433551
CD56,0.697168,0.283224,0.248366,0.248366,0.185185,0.204793
CD68,0.259259,0.694989,0.453159,0.433551,0.191721,0.553377
AF,0.557734,0.248366,0.0108932,0.843137,0.172113,0.154684
