class,entropy_nats,entropy_bits
CK+,1.3385,1.93105
CD3+,1.45156,2.09416
CD8+,1.66084,2.39609
CD20+,1.70003,2.45263
CD56+,1.38697,2.00097
CD68+,1.52635,2.20206
