class,entropy_nats,entropy_bits
CK+,1.46429,2.11252
CD3+,1.51761,2.18945
CD8+,1.65537,2.38819
CD20+,1.74077,2.5114
CD56+,1.49798,2.16113
CD68+,1.57777,2.27625
