class,entropy_nats,entropy_bits
CK+,1.46421,2.1124
CD3+,1.51763,2.18948
CD8+,1.65533,2.38813
CD20+,1.74062,2.51118
CD56+,1.49791,2.16103
CD68+,1.57771,2.27616
