,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.157577,0.800995,0.436331,0.247159,0.650971,0.442106
CK,0.567072,0.353801,0.0544623,0.534473,0.480628,0.688875
CD3,0.507272,0.606881,0.796331,0.747259,0.505461,0.726738
CD8,0.658401,0.204322,0.562305,0.797986,0.492653,0.844555
CD20,0.659222,0.746832,0.699946,0.625057,0.725742,0.701489
CD56,0.775043,0.581674,0.777315,0.709368,0.723443,0.713192
CD68,0.346175,0.760689,0.841434,0.847107,0.760963,0.604317
AF,0.805882,0.0133015,0.503003,0.808588,0.624058,0.748306
