,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.130153,0.454162,0.29327,0.219724,0.509099,0.351032
CK,0.69627,0.121762,0.101062,0.162342,0.0918032,0.0850898
CD3,0.0126647,0.173114,0.0367904,0.0280444,0.0215603,0.0244655
CD20,0.015011,0.0218537,0.227549,0.0281038,0.0168838,0.0358534
CD68,0.00752826,0.0146536,0.0183128,0.113984,0.0305972,0.018016
CD56,0.0079451,0.0203489,0.0236736,0.0286726,0.11787,0.0196809
CD8,0.0156368,0.101058,0.0904825,0.0856429,0.0630051,0.352161
AF,0.114791,0.093048,0.20886,0.333486,0.149182,0.113701
