,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.22501,0.438402,0.263501,0.207142,0.534153,0.342799
CK,0.441724,0.0421299,0.0329338,0.0637719,0.0375711,0.031825
CD3,0.0298173,0.262334,0.0471631,0.0382463,0.0352164,0.0419879
CD8,0.039047,0.0319601,0.346104,0.0340049,0.0282923,0.0533398
CD20,0.0310538,0.0361173,0.0403862,0.258891,0.077877,0.0452906
CD56,0.00796745,0.00970052,0.0117911,0.0158572,0.064,0.0104648
CD68,0.0280923,0.0920291,0.0766255,0.0826182,0.0691403,0.364838
AF,0.197288,0.0873269,0.181496,0.299469,0.15375,0.109455
