class,entropy_nats,entropy_bits
CK+,1.33857,1.93114
CD3+,1.45125,2.09371
CD8+,1.6613,2.39675
CD20+,1.70014,2.45278
CD56+,1.38662,2.00047
CD68+,1.52606,2.20164
