,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.100555,0.225454,0.165614,0.173817,0.1637,0.182291
CK,0.171792,0.113062,0.0882162,0.0997948,0.130762,0.132473
CD3,0.157399,0.198088,0.324291,0.119479,0.149491,0.164292
CD8,0.249042,0.130993,0.210521,0.261643,0.147074,0.295377
CD20,0.246279,0.20157,0.236336,0.200569,0.272368,0.171111
CD56,0.226129,0.124643,0.228519,0.145365,0.177247,0.151106
CD68,0.0960264,0.216993,0.286772,0.307104,0.190605,0.17868
AF,0.185644,0.0953618,0.147878,0.212085,0.13743,0.142646
