,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.322097,0.38015,0.368914,0.70412,0.410112,0.797753
CK,0.445693,0.745318,0.752809,0.543071,0.533708,0.589888
CD3,0.11236,0.468165,0.859551,0.724719,0.546816,0.719101
CD20,0.258427,0.475655,0.490637,0.784644,0.43633,0.462547
CD68,0.138577,0.511236,0.382022,0.631086,0.419476,0.38015
CD56,0.625468,0.402622,0.378277,0.473783,0.338951,0.346442
CD8,0.187266,0.70412,0.518727,0.292135,0.189139,0.56367
AF,0.627341,0.393258,0.0955056,0.902622,0.294007,0.241573
