,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.212066,0.50457,0.358318,0.740402,0.367459,0.804388
CK,0.329068,0.486289,0.702011,0.74223,0.676417,0.499086
CD3,0.0109689,0.30713,0.941499,0.669104,0.424132,0.667276
CD8,0.316271,0.42596,0.522852,0.893967,0.387569,0.473492
CD20,0.1883,0.334552,0.175503,0.466179,0.197441,0.383912
CD56,0.711152,0.345521,0.252285,0.297989,0.195612,0.239488
CD68,0.228519,0.720293,0.499086,0.409506,0.146252,0.497258
AF,0.484461,0.329068,0.00914077,0.846435,0.146252,0.107861
