,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.100014,0.224829,0.16393,0.171955,0.160905,0.181095
CK,0.170447,0.118618,0.0952481,0.118002,0.144905,0.132243
CD3,0.152612,0.212136,0.314303,0.145036,0.17872,0.203194
CD20,0.228027,0.13632,0.215205,0.254239,0.163828,0.279531
CD68,0.225515,0.20022,0.218559,0.199691,0.248916,0.169739
CD56,0.204437,0.127678,0.21636,0.141171,0.171553,0.150453
CD8,0.106784,0.232554,0.283803,0.287285,0.19826,0.18923
AF,0.192765,0.0927204,0.148588,0.214764,0.140556,0.141828
