class,entropy_nats,entropy_bits
CK+,1.46807,2.11797
CD3+,1.53938,2.22086
CD8+,1.65088,2.38171
CD20+,1.71675,2.47675
CD56+,1.49867,2.16213
CD68+,1.56258,2.25433
