,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.17965,0.485004,0.302054,0.234651,0.523666,0.417277
CK,0.582641,0.0711399,0.0572717,0.100401,0.0542189,0.0576317
CD3,0.0188866,0.211762,0.0448821,0.0319814,0.0261716,0.0380037
CD20,0.023315,0.0271142,0.275288,0.0332049,0.0201077,0.0479415
CD68,0.01327,0.0190789,0.0232979,0.142184,0.0382221,0.0244482
CD56,0.0135523,0.0254242,0.0290428,0.0387975,0.148016,0.0291589
CD8,0.0156597,0.0690328,0.067646,0.0708636,0.0443011,0.26321
AF,0.153025,0.0914443,0.200517,0.347918,0.145296,0.122329
