,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.212066,0.497258,0.363803,0.734918,0.371115,0.802559
CK,0.330896,0.482633,0.707495,0.73309,0.683729,0.49543
CD3,0.00914077,0.305302,0.943327,0.659963,0.424132,0.676417
CD20,0.310786,0.418647,0.531993,0.893967,0.380256,0.466179
CD68,0.186472,0.340037,0.173675,0.464351,0.201097,0.383912
CD56,0.705667,0.347349,0.252285,0.297989,0.190128,0.250457
CD8,0.224863,0.722121,0.502742,0.40585,0.153565,0.500914
AF,0.488117,0.327239,0.00914077,0.839122,0.14808,0.106033
