,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.183382,0.429665,0.24653,0.213605,0.485014,0.349047
CK,0.576814,0.0686318,0.0500199,0.100142,0.0535992,0.0531817
CD3,0.0219728,0.253938,0.0422399,0.0372377,0.0327359,0.0428249
CD20,0.0341605,0.0317968,0.388046,0.0343112,0.0298021,0.0511612
CD68,0.0231297,0.0315893,0.0363876,0.243743,0.0675569,0.0433285
CD56,0.0132364,0.0246411,0.0233589,0.0379442,0.157014,0.029053
CD8,0.0195687,0.0874301,0.069446,0.0751209,0.0588569,0.339182
AF,0.127736,0.0723074,0.143972,0.257896,0.115421,0.0922221
