,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.224444,0.351111,0.288889,0.68,0.337778,0.726667
CK,0.311111,0.52,0.686667,0.651111,0.648889,0.462222
CD3,0.111111,0.377778,0.893333,0.624444,0.453333,0.575556
CD8,0.242222,0.348889,0.457778,0.791111,0.368889,0.502222
CD20,0.186667,0.373333,0.308889,0.357778,0.284444,0.333333
CD56,0.622222,0.208889,0.18,0.213333,0.18,0.168889
CD68,0.235556,0.677778,0.475556,0.366667,0.186667,0.553333
AF,0.495556,0.3,0.0377778,0.728889,0.231111,0.255556
