class,entropy_nats,entropy_bits
CK+,1.02454,1.47809
CD3+,1.59575,2.30218
CD8+,1.7561,2.53352
CD20+,1.7548,2.53163
CD56+,1.5313,2.20919
CD68+,1.55168,2.2386
