,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.147629,0.818706,0.484008,0.221121,0.695924,0.358452
CK,0.664829,0.376389,0.106275,0.454216,0.372409,0.655977
CD3,0.503806,0.570499,0.832136,0.740165,0.314833,0.552732
CD8,0.807123,0.346652,0.761045,0.742828,0.660947,0.886881
CD20,0.704249,0.895189,0.789653,0.747211,0.796068,0.800508
CD56,0.81381,0.573918,0.808684,0.549799,0.637817,0.640944
CD68,0.305422,0.809967,0.782485,0.820205,0.823313,0.714533
AF,0.798209,0.0177784,0.45451,0.814668,0.578395,0.704268
