class,entropy_nats,entropy_bits
CK+,1.02439,1.47789
CD3+,1.59553,2.30187
CD8+,1.75601,2.53338
CD20+,1.75465,2.53142
CD56+,1.53094,2.20868
CD68+,1.55166,2.23857
