class,entropy_nats,entropy_bits
CK+,1.4948,2.15655
CD3+,1.5534,2.24108
CD8+,1.66364,2.40012
CD20+,1.72411,2.48736
CD56+,1.52427,2.19906
CD68+,1.56407,2.25647
