,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.263653,0.416196,0.34275,0.753296,0.416196,0.809793
CK,0.254237,0.521657,0.728814,0.693032,0.713748,0.497175
CD3,0.0433145,0.421846,0.93032,0.617702,0.517891,0.740113
CD8,0.26742,0.450094,0.553672,0.841808,0.448211,0.517891
CD20,0.210923,0.382298,0.310734,0.495292,0.290019,0.399247
CD56,0.693032,0.320151,0.284369,0.348399,0.278719,0.284369
CD68,0.205273,0.672316,0.478343,0.429379,0.19209,0.536723
AF,0.570621,0.282486,0.0131827,0.894539,0.207156,0.137476
