class,entropy_nats,entropy_bits
CK+,1.4948,2.15654
CD3+,1.55365,2.24144
CD8+,1.66368,2.40018
CD20+,1.72427,2.4876
CD56+,1.52457,2.19949
CD68+,1.56444,2.25702
