,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.219427,0.827455,0.489358,0.265155,0.719674,0.420826
CK,0.584912,0.444629,0.147262,0.512642,0.467282,0.704075
CD3,0.606442,0.746771,0.8702,0.845553,0.640006,0.803701
CD20,0.761175,0.415168,0.723193,0.773565,0.632292,0.888173
CD68,0.772714,0.833934,0.822528,0.772797,0.841005,0.730855
CD56,0.800303,0.523902,0.797,0.681543,0.699607,0.661453
CD8,0.238135,0.768916,0.85962,0.802713,0.684399,0.68279
AF,0.822192,0.0309398,0.478222,0.831557,0.63113,0.748979
