,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.254513,0.456679,0.34296,0.709386,0.34657,0.796029
CK,0.306859,0.48556,0.693141,0.712996,0.66426,0.501805
CD3,0.0180505,0.261733,0.960289,0.637184,0.382671,0.642599
CD20,0.32852,0.404332,0.51083,0.920578,0.380866,0.51083
CD68,0.180505,0.364621,0.272563,0.400722,0.245487,0.348375
CD56,0.691336,0.33213,0.281588,0.306859,0.225632,0.245487
CD8,0.203971,0.740072,0.530686,0.393502,0.113718,0.555957
AF,0.505415,0.270758,0.00722022,0.812274,0.15343,0.099278
