,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.272016,0.553816,0.37182,0.637965,0.391389,0.751468
CK,0.409002,0.569472,0.649706,0.495108,0.561644,0.53816
CD3,0.0215264,0.150685,0.925636,0.696673,0.232877,0.565558
CD8,0.297456,0.305284,0.463796,0.956947,0.348337,0.581213
CD20,0.0763209,0.383562,0.268102,0.272016,0.209393,0.189824
CD56,0.665362,0.471624,0.315068,0.342466,0.23092,0.318982
CD68,0.111546,0.780822,0.639922,0.164384,0.195695,0.489237
AF,0.573386,0.320939,0.0547945,0.872798,0.168297,0.16047
