,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.228627,0.465648,0.268392,0.22033,0.546445,0.369503
CK,0.453692,0.0441481,0.0331283,0.0640031,0.0372917,0.033565
CD3,0.0281158,0.237669,0.0465962,0.0333623,0.0317055,0.0401888
CD20,0.0374759,0.0336295,0.351502,0.0345968,0.0282507,0.0528721
CD68,0.0275398,0.0342581,0.0365829,0.242947,0.0703975,0.041579
CD56,0.0086265,0.011225,0.0134576,0.0181413,0.0722454,0.0119484
CD8,0.0251412,0.0847098,0.0705448,0.0775042,0.0622757,0.338852
AF,0.190782,0.0887123,0.179795,0.309116,0.151389,0.111492
