,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.195134,0.81646,0.446149,0.243026,0.701999,0.524183
CK,0.694205,0.600247,0.363874,0.679884,0.576483,0.799985
CD3,0.525362,0.654952,0.807026,0.804547,0.576876,0.771234
CD8,0.616757,0.403009,0.680238,0.741342,0.669944,0.822771
CD20,0.684831,0.888469,0.745316,0.664461,0.759567,0.802305
CD56,0.804247,0.644327,0.783113,0.625197,0.579236,0.651852
CD68,0.337324,0.827454,0.784123,0.82045,0.845581,0.718544
AF,0.767119,-0.0190044,0.456215,0.775972,0.606553,0.702178
