,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.160751,0.799136,0.437823,0.245371,0.651676,0.441941
CK,0.567134,0.354816,0.0532775,0.532863,0.481307,0.685074
CD3,0.509303,0.607739,0.796092,0.744706,0.504776,0.72682
CD20,0.659044,0.205111,0.565332,0.797992,0.494188,0.844593
CD68,0.660321,0.745073,0.704217,0.623218,0.722411,0.700116
CD56,0.774853,0.581434,0.7775,0.708221,0.722662,0.711276
CD8,0.347805,0.761663,0.84178,0.847556,0.762154,0.605198
AF,0.805766,0.0149174,0.503521,0.80863,0.624187,0.748148
