,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.0966112,0.210698,0.155641,0.164266,0.154215,0.171823
CK,0.1591,0.107188,0.0883424,0.112131,0.130051,0.121633
CD3,0.146686,0.202154,0.28914,0.136763,0.16019,0.173141
CD8,0.223863,0.116391,0.184977,0.238844,0.137488,0.252966
CD20,0.189119,0.16634,0.182171,0.168003,0.209938,0.143952
CD56,0.153646,0.114674,0.174517,0.120302,0.144749,0.132016
CD68,0.104632,0.231356,0.274861,0.280245,0.191087,0.196632
AF,0.188467,0.0875457,0.135555,0.198893,0.13745,0.131906
