class,entropy_nats,entropy_bits
CK+,1.31174,1.89244
CD3+,1.60797,2.31981
CD8+,1.66867,2.40739
CD20+,1.81049,2.61198
CD56+,1.61301,2.32708
CD68+,1.63589,2.36009
