,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
DAPI,0.22192,0.530964,0.325747,0.258257,0.586987,0.444295
CK,0.51235,0.0568178,0.0446199,0.0821105,0.0457672,0.0456091
CD3,0.0214257,0.192241,0.0444746,0.0298619,0.0241468,0.0323532
CD20,0.0260586,0.0276023,0.272495,0.034173,0.0205083,0.0502951
CD68,0.0143937,0.0187252,0.0228991,0.140529,0.0375193,0.0235828
CD56,0.00939355,0.0144988,0.0183161,0.0231031,0.0827839,0.0150943
CD8,0.0184826,0.0660791,0.0657601,0.0750813,0.0479397,0.262979
AF,0.175976,0.0930718,0.205688,0.356883,0.154348,0.125792
