class,entropy_nats,entropy_bits
CK+,1.26888,1.83061
CD3+,1.22884,1.77285
CD8+,1.28835,1.85869
CD20+,1.21691,1.75563
CD56+,1.23665,1.78411
CD68+,1.24079,1.79008
