class,entropy_nats,entropy_bits
CK+,1.28723,1.85708
CD3+,1.23729,1.78503
CD8+,1.30409,1.88141
CD20+,1.2086,1.74364
CD56+,1.26252,1.82143
CD68+,1.27103,1.83371
