,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.6,0.978495,0.984946,0.972043,0.393548,0.883871
Pan-Keratin,0.00860215,0.473118,0.264516,0.253763,0.389247,0.290323
CD3,0.0344086,0.0430108,0.00645161,0.202151,0.275269,0.0344086
CD8,0.0408602,0.0107527,0.0301075,0.322581,0.251613,0.277419
CD20,0.0322581,0.0344086,0.12043,0.0774194,0.0473118,0.245161
CD56,0.0193548,0.00860215,0.0193548,0.0172043,0.00215054,0.0172043
CD68,0.298925,0.135484,0.202151,0.148387,0.00215054,0.027957
BG,0,0.36129,0.180645,0.322581,0.997849,0.569892
