,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.62983,0.642986,0.619722,0.47216,0.702089,0.63877
Pan-Keratin,0.190725,0.0510527,0.0378648,0.0235722,0.0502011,0.0330823
CD3,0.0264901,0.182503,0.044847,0.0190161,0.0179127,0.0207386
CD8,0.0133657,0.0218187,0.178349,0.0150229,0.0153986,0.0257334
CD20,0.067979,0.057597,0.0724281,0.440608,0.123834,0.0951811
CD56,0.00112754,0.00020838,0.000943132,0.000932336,0.00709185,0.000672479
CD68,0.0122536,0.00793512,0.0132698,0.00804843,0.0148307,0.147584
BG,0.0582296,0.0358991,0.0325757,0.0206399,0.0686424,0.0382381
