,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.541298,0.630391,0.579442,0.575035,0.650926,0.532066
Pan-Keratin,0.282909,0.0753541,0.0541054,0.0447284,0.0846967,0.0401412
CD3,0.0209965,0.161068,0.0387039,0.0209186,0.0193944,0.0159881
CD8,0.0163329,0.0286696,0.218795,0.0261073,0.0233962,0.0287161
CD20,0.0302466,0.0299102,0.0302088,0.26972,0.0644404,0.0348951
CD56,0.000801661,0.000219477,0.000777242,0.000958242,0.0051847,0.000495731
CD68,0.0263189,0.0192268,0.0302887,0.0242514,0.0405437,0.301545
BG,0.0810957,0.0551617,0.0476792,0.0382811,0.111417,0.0461526
