,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.573402,0.996546,0.996546,0.977547,0.341969,0.913644
Pan-Keratin,0,0.331606,0.207254,0.150259,0.246978,0.158895
CD3,0.0379965,0.0120898,0,0.428325,0.618307,0.0466321
CD8,0.0103627,0.00690846,0.00690846,0.637306,0.525043,0.602763
CD20,0.0224525,0.0397237,0.143351,0.0708117,0.0328152,0.378238
CD56,0.015544,0.0120898,0.0120898,0.0120898,0.00345423,0.0120898
CD68,0.428325,0.141623,0.236615,0.233161,0.00863558,0.0345423
BG,0,0.409326,0.176166,0.305699,1,0.566494
