,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.62586,0.589036,0.526735,0.55194,0.671195,0.509205
Pan-Keratin,0.164371,0.0341946,0.0243885,0.0202241,0.0440346,0.0198411
CD3,0.0365853,0.241757,0.0581801,0.0318585,0.0278414,0.0235685
CD8,0.0258566,0.0400721,0.295095,0.0326503,0.0299769,0.0360366
CD20,0.0394745,0.033727,0.0304382,0.309132,0.0811591,0.0366363
CD56,0.0012869,0.00025784,0.000911887,0.00130795,0.00802695,0.00069259
CD68,0.0341368,0.0201467,0.0301421,0.0244014,0.0473632,0.339449
BG,0.0724289,0.0408082,0.0341094,0.0284858,0.0904023,0.0345708
