class,entropy_nats,entropy_bits
CK+,1.36446,1.96849
CD3+,1.29923,1.8744
CD8+,1.38119,1.99264
CD20+,1.25624,1.81237
CD56+,1.36649,1.97143
CD68+,1.3206,1.90522
