,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.630093,0.642641,0.620137,0.472021,0.701755,0.638624
Pan-Keratin,0.190708,0.0510782,0.0378591,0.0235322,0.0501684,0.0330815
CD3,0.026456,0.182645,0.0448208,0.0189666,0.0179343,0.0206939
CD20,0.0133259,0.0217248,0.177927,0.0149307,0.0154027,0.0257795
CD68,0.0678185,0.0578036,0.0723249,0.440975,0.124082,0.095635
CD56,0.00112255,0.000207117,0.000947968,0.000926784,0.00712245,0.00068057
CD8,0.0122489,0.00793977,0.0133076,0.00806052,0.0148242,0.147232
BG,0.0582273,0.0359599,0.0326751,0.0205868,0.0687112,0.0382739
