,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.155355,0.293095,0.219439,0.273888,0.149977,0.143696
Pan-Keratin,0.0798816,0.0334705,0.0694986,0.0468721,0.0226772,0.0341837
CD3,0.106975,0.245897,0.169441,0.243096,0.129685,0.142104
CD8,0.153179,0.194887,0.22407,0.203482,0.0730037,0.0778447
CD20,0.046661,0.0486561,0.0466002,0.0844392,0.0674847,0.0743388
CD56,0.0743157,0.0477991,0.0675406,0.0726135,0.0675109,0.0432936
CD68,0.0548732,0.0752557,0.0624022,0.068474,0.0721994,0.138731
BG,0.148472,0.220029,0.217437,0.0722041,0.178849,0.147584
