,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.541455,0.630332,0.580365,0.576086,0.651005,0.531723
Pan-Keratin,0.282824,0.0753535,0.0540367,0.0447564,0.0847151,0.0401585
CD3,0.0210462,0.161054,0.0386287,0.0209592,0.0194225,0.0160113
CD20,0.0162708,0.0286236,0.218227,0.0260639,0.0233578,0.0286328
CD68,0.0302432,0.0299204,0.0300309,0.268612,0.0642023,0.0348688
CD56,0.000800761,0.000219086,0.000770281,0.000961656,0.00517864,0.000497005
CD8,0.0262065,0.0192363,0.0302396,0.0242666,0.0405611,0.301913
BG,0.0811541,0.055261,0.0477024,0.0382938,0.111557,0.0461954
