,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.556553,0.998205,0.996409,0.971275,0.371634,0.915619
Pan-Keratin,0.005386,0.414722,0.262118,0.145422,0.369838,0.21544
CD3,0.0233393,0.00718133,0.00179533,0.385996,0.684022,0.0359066
CD20,0.016158,0.010772,0.0197487,0.594255,0.529623,0.59246
CD68,0.0287253,0.116697,0.138241,0.163375,0.0807899,0.32675
CD56,0.102334,0.0556553,0.0879713,0.0574506,0.00359066,0.0933573
CD8,0.43447,0.109515,0.220826,0.195691,0.00897666,0.0341113
BG,0,0.357271,0.149013,0.289048,0.996409,0.533214
