,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.172722,0.309865,0.223269,0.293819,0.153406,0.152136
Pan-Keratin,0.0666229,0.0212637,0.0336173,0.0284221,0.0141722,0.0193627
CD3,0.0679003,0.19989,0.143558,0.200396,0.0847667,0.123887
CD8,0.0998808,0.133859,0.150051,0.127248,0.0408429,0.0521111
CD20,0.0299703,0.0393018,0.0296798,0.062893,0.0494496,0.0476226
CD56,0.00437516,0.00294491,0.00414243,0.00507796,0.00427028,0.00251556
CD68,0.0691986,0.0797957,0.0767998,0.0674368,0.0929623,0.158272
BG,0.155743,0.23118,0.227548,0.0736671,0.187414,0.15612
