,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.630548,0.565276,0.500675,0.565332,0.664534,0.485713
Pan-Keratin,0.138055,0.0261918,0.0179494,0.0160091,0.0362705,0.0148094
CD3,0.0454108,0.272791,0.0634817,0.0379205,0.0332656,0.0261751
CD20,0.0313276,0.0441279,0.323539,0.039432,0.0362333,0.040976
CD68,0.0366859,0.0288897,0.0270104,0.280168,0.0723101,0.0326697
CD56,0.00134385,0.00032895,0.000856693,0.0016615,0.00863274,0.000743228
CD8,0.0397074,0.0217134,0.0324602,0.0291823,0.0533291,0.364144
BG,0.0769216,0.0406813,0.0340282,0.0302947,0.095425,0.0347689
