,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.744137,0.610855,0.425409,0.708279,0.598549,0.451068
Pan-Keratin,0.540324,-0.184966,0.627273,0.321857,-0.571512,0.171899
CD3,-0.0291169,0.699504,0.423881,0.827637,0.354391,0.485089
CD8,0.505252,0.571481,0.666793,0.746932,-0.19941,-0.00385546
CD20,0.23017,0.364694,0.410051,0.703719,0.608695,0.391403
CD56,0.348158,0.359852,0.341326,0.618625,0.347266,-0.0771077
CD68,0.132896,0.594068,0.571206,0.528773,0.337866,0.72134
BG,0.29645,0.896331,0.844984,0.120735,0.657687,0.845512
