,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.611894,0.585024,0.520807,0.526319,0.656756,0.5095
Pan-Keratin,0.16662,0.0341989,0.0236973,0.0193053,0.0431247,0.0200913
CD3,0.0365716,0.242098,0.0566846,0.0311133,0.0274294,0.0240823
CD20,0.026799,0.0407017,0.297471,0.0325875,0.0303271,0.0375876
CD68,0.0453009,0.0352411,0.0349554,0.335355,0.0864389,0.0426547
CD56,0.00384572,0.000795459,0.00265488,0.00346678,0.0194049,0.00247505
CD8,0.0331768,0.0195732,0.0286692,0.0227315,0.0445073,0.327057
BG,0.0757916,0.0423679,0.0350605,0.0291219,0.0920122,0.0365522
