class,entropy_nats,entropy_bits
CK+,1.2484,1.80106
CD3+,1.2244,1.76644
CD8+,1.29308,1.86552
CD20+,1.20776,1.74243
CD56+,1.23106,1.77604
CD68+,1.25732,1.81393
