,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.702772,0.6355,0.485747,0.71645,0.649482,0.479848
Pan-Keratin,0.679519,-0.118612,0.772066,0.413401,-0.544253,0.306097
CD3,0.291423,0.789328,0.535364,0.86289,0.58775,0.584174
CD8,0.666414,0.733085,0.801609,0.831466,-0.039698,0.0348961
CD20,0.514657,0.365049,0.565031,0.686574,0.682745,0.655398
CD56,0.804619,0.657773,0.702404,0.887076,0.702929,0.440478
CD68,0.0389378,0.726404,0.587949,0.743496,0.332828,0.82131
BG,0.288578,0.874977,0.846157,0.159034,0.678443,0.850358
