,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.56304,0.994819,0.996546,0.97582,0.343696,0.92228
Pan-Keratin,0,0.333333,0.210708,0.143351,0.248705,0.169257
CD3,0.0310881,0.0120898,0.00172712,0.433506,0.623489,0.044905
CD20,0.0138169,0.0103627,0.00863558,0.642487,0.519862,0.602763
CD68,0.0259067,0.0397237,0.134715,0.0725389,0.0414508,0.374784
CD56,0.015544,0.0120898,0.0120898,0.0103627,0.00345423,0.0138169
CD8,0.428325,0.139896,0.240069,0.231434,0.0103627,0.0328152
BG,0,0.419689,0.165803,0.310881,1,0.556131
