,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.758049,0.593171,0.405123,0.702585,0.584258,0.438605
Pan-Keratin,0.51052,-0.254582,0.609,0.349438,-0.622046,0.170163
CD3,-0.0611567,0.664397,0.361387,0.819701,0.321972,0.417427
CD20,0.455364,0.524767,0.631383,0.716768,-0.245016,-0.0572829
CD68,0.145842,0.24053,0.398668,0.604065,0.53485,0.360322
CD56,0.830526,0.631607,0.762967,0.890116,0.750295,0.41062
CD8,0.176497,0.598448,0.589053,0.587462,0.32514,0.703572
BG,0.29563,0.891936,0.840674,0.148254,0.656833,0.842447
