,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.17293,0.309876,0.223345,0.29417,0.153568,0.152461
Pan-Keratin,0.0664662,0.0210699,0.0336563,0.0283099,0.0143841,0.0194256
CD3,0.0677888,0.19948,0.143346,0.199622,0.0841594,0.123736
CD20,0.0996405,0.133423,0.1497,0.126433,0.0404317,0.0508092
CD68,0.0301657,0.0393185,0.0298533,0.0629489,0.0495296,0.0471718
CD56,0.00437464,0.00295472,0.00414772,0.00510553,0.00425835,0.00249521
CD8,0.0690676,0.0795593,0.0769405,0.0671776,0.0925911,0.158117
BG,0.15565,0.231272,0.227781,0.0739445,0.187609,0.156646
