,CK+,CD3+,CD8+,CD20+,CD56+,CD68+
dsDNA,0.611733,0.585095,0.52045,0.527048,0.656701,0.509854
Pan-Keratin,0.166733,0.0342324,0.0236872,0.0193208,0.0431752,0.020071
CD3,0.0365548,0.242057,0.0566153,0.0311662,0.0274069,0.0240903
CD8,0.026857,0.0407686,0.297994,0.0326509,0.0303451,0.0375595
CD20,0.0452688,0.0351978,0.0348079,0.334454,0.0862906,0.0426358
CD56,0.00384253,0.000792314,0.00264843,0.00346243,0.019512,0.00247329
CD68,0.0332253,0.0195044,0.028759,0.0227576,0.0445875,0.326801
BG,0.0757852,0.0423523,0.0350384,0.0291397,0.0919812,0.0365146
