class,entropy_nats,entropy_bits
CK+,1.17028,1.68836
CD3+,1.15432,1.66533
CD8+,1.23243,1.77803
CD20+,1.0669,1.53921
CD56+,1.07564,1.55182
CD68+,1.21009,1.74579
