class,entropy_nats,entropy_bits
CK+,1.27815,1.84398
CD3+,1.23877,1.78717
CD8+,1.29845,1.87327
CD20+,1.22551,1.76804
CD56+,1.25551,1.81131
CD68+,1.24995,1.8033
